@hubs
# A hub is a group of zones.
# ***** !!!!! SIZES INDICATE NUMBER OF INTERSECTIONS, NOT NUMBER OF POIS !!!!! *****
# ***** !!!!! DO NOT ABUSE MIN AND MAX, YOU WILL BREAK THE GENERATION !!!!! *****
# name,biomes,townships,zones,small_sizes,medium_sizes,large_sizes,prob,min,max
#    name: name of the hub
#    biomes: biomes where the hub can be generated
#    townships: townships of this hub
#    zones: zones contained by the hub
#    small_sizes: sizes the hub can have when users selects "small"
#    medium_sizes: sizes the hub can have when users selects "medium"
#    large_sizes: sizes the hub can have when users selects "large"
#    prob: probability of this hub being generated. A number between 0 and 1 is advisable, but it can be exceeded
#    min: minimum number of times this hub must be generated
#    max: maximum number of times this hub can be generated
default_city,burnt_forest/snow/pine_forest/desert/wasteland,city,residentialold/residentialnew/downtown/industrial/commercial,10/20,30/40/50,60/70/80,1,,
default_single_city,burnt_forest/snow/pine_forest/desert/wasteland,city,residentialold/residentialnew/downtown/industrial/commercial,80/100/120,130/150/170,180/200/220,1,,
default_town,burnt_forest/snow/pine_forest/desert/wasteland,town,residentialold/residentialnew/industrial/commercial,5/10,10/15/20,30/40,1,,
default_village,burnt_forest/snow/pine_forest/desert/wasteland,village,residentialold/residentialnew/commercial,1/2,1/2/3/4/5,6/8/10,1,,
oldwest_village,desert,village,oldwest,2/3,3/4,4/5,0.5,,

@zones
# A zone is a group of POIs.
# ***** !!!!! DO NOT REPEAT THE SAME COLOR MULTIPLE TIMES !!!!! *****
# name,red,green,blue
#    name: name of the zone
#    red: red value of rgb color
#    green: green value of rgb color
#    blue: blue value of rgb color
residentialold,255,100,0 #orange
residentialnew,255,255,0 #yellow
downtown,0,255,0 #green
industrial,0,0,255 #blue
commercial,255,0,255 #purple
oldwest,161,81,0 #brown

#<name>,<x size>,<y size>,<z size>,<y offset>,<rotation to face north>,<allowed biomes>,<allowed townships>,<zones>,<min>,<max>
@pois
house_old_modular_07,31,12,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_modular_08,31,13,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_pyramid_01,32,25,52,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_pyramid_02,31,22,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_pyramid_03,28,26,46,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_pyramid_04,40,27,52,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_pyramid_05,32,18,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_ranch_01,44,23,44,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_ranch_02,65,21,59,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_old_ranch_03,38,22,42,-7,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_old_ranch_04,44,23,45,-7,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_old_ranch_05,32,23,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_ranch_06,39,15,50,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_ranch_07,52,16,42,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_old_ranch_08,48,21,52,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_old_ranch_09,44,16,38,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_ranch_10,40,19,44,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_spanish_01,31,25,49,-15,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_old_tudor_01,56,66,45,-30,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_tudor_02,32,21,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_tudor_03,34,25,53,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_tudor_04,31,26,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_tudor_05,29,26,44,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_tudor_06,33,23,53,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_01,49,27,56,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_02,33,29,53,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_03,38,42,53,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_04,38,31,52,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_05,34,26,49,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_06,27,24,53,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_07,35,25,53,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_08,24,21,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_09,41,27,53,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_10,33,29,46,-9,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_11,29,24,53,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_12,28,23,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_victorian_13,31,26,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
hwy_overpass_sign_01,3,8,17,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,4
indian_burial_grounds_01,27,8,27,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
installation_red_mesa,72,45,83,-23,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,industrial,,
junkyard_lg_01,74,19,87,-3,0,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
junkyard_med_01,61,18,52,-3,0,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
lodge_01,58,23,55,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
mp_waste_bldg_01_red,31,17,27,0,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_01_tan,31,17,26,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_01_white,31,17,26,0,3,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_02_red,31,17,39,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_02_tan,31,17,39,0,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_03_red,20,27,21,0,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_03_tan,20,27,21,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_03_white,20,27,21,0,3,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_04_grey,14,17,38,0,3,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_04_red,14,17,38,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_04_tan,13,16,37,0,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_04_white,14,17,38,0,0,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_05_grey,20,13,22,0,3,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_06_grey,23,22,34,0,3,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
mp_waste_bldg_governer_08,28,15,46,0,3,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
navezgane_waterfall_01,14,15,3,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
oldwest_business_01,17,20,27,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_02,23,15,26,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_03,50,15,20,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_04,21,14,19,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_05,19,9,14,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_06,30,17,24,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_07,13,10,17,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_08,28,19,26,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_09,13,11,16,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_10,20,22,26,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_11,19,17,26,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_12,17,15,17,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_13,18,21,22,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_business_14,20,15,23,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_church,34,28,40,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/town/rural,residentialold,,
oldwest_coal_factory,33,31,39,-13,3,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
oldwest_gallows,13,8,16,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_jail,19,9,18,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_stables,25,11,24,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
oldwest_strip_01,52,21,23,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_strip_02,52,16,28,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_strip_03,52,20,27,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
oldwest_strip_04,37,19,28,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
oldwest_watertower,17,15,17,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
park_01,53,10,53,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/residentialold/downtown,,
park_02,28,5,46,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/residentialold/downtown,,
park_basketball,66,12,47,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/residentialold/downtown,,
park_basketball_temp,193,12,193,0,2,burnt_forest/snow/pine_forest/desert/wasteland,,,,
park_plaza_01,49,8,47,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
park_plaza_02,46,12,46,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/downtown,,
park_skate,171,23,149,0,2,burnt_forest/snow/pine_forest/desert/wasteland,,,,
parking_garage_01,43,18,44,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/downtown,,
parking_lot_01,35,11,35,-1,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/downtown,,
parking_lot_02,35,11,35,-1,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/downtown,,
parking_lot_03,35,11,35,-1,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/downtown,,
perishton_city_blk_01,103,14,103,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,devonly,,
perishton_city_blk_02,103,6,103,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,devonly,,
perishton_city_blk_03,103,6,103,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,devonly,,
perishton_city_blk_04,103,14,103,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,devonly,,
perishton_city_blk_plaza,103,30,103,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,,,,
perishton_city_sign_01,3,14,13,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
perishton_median_01,103,13,7,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
player_start1,6,2,6,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
player_start2,4,2,8,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
player_start3,5,2,6,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
player_start4,5,2,6,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
player_start5,6,2,8,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
player_start6,6,2,9,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
police_station1,42,17,38,-1,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
post_office_med_01,39,21,41,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
post_office_sm_01,22,11,34,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
potatofield_sm,12,2,12,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial/residentialold,,
prison_01,38,19,48,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
ranger_station_01,40,63,40,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
ranger_station_02,29,32,30,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
ranger_station_03,42,39,27,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
ranger_station_04,31,20,26,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
ranger_station_05,23,23,30,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
ranger_station_06,53,20,54,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
ranger_station_07,54,34,50,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
remnant_burnt_01,26,21,40,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_burnt_02,21,20,39,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_burnt_03,29,21,43,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_burnt_04,18,7,33,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
remnant_burnt_05,31,40,28,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
remnant_burnt_06,42,15,43,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
remnant_burnt_07,22,15,36,-8,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
remnant_burnt_08,31,12,35,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
remnant_burnt_09,19,14,26,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_business_01,70,26,39,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
remnant_business_02,56,21,42,-7,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,commercial,,
remnant_business_03,35,14,28,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
remnant_business_04,56,14,34,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
remnant_business_05,52,23,51,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,none,,
remnant_house_01,41,14,51,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_02,42,20,52,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_03,27,21,53,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_04,26,12,53,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_05,45,16,52,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_06,27,15,53,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_07,22,14,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_08,27,15,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_09,27,16,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_10,27,27,35,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_11,28,14,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_house_12,24,17,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew/residentialold,,
remnant_house_13,23,16,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew/residentialold,,
remnant_industrial_01,16,21,14,0,0,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
remnant_industrial_02,16,19,14,0,3,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
remnant_industrial_03,11,20,12,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
remnant_industrial_04,36,14,35,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,,
remnant_mill_01,41,26,57,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
remnant_oldwest_01,13,5,13,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
remnant_oldwest_02,10,4,10,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
remnant_oldwest_03,8,7,8,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
remnant_oldwest_04,16,13,27,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
remnant_oldwest_05,15,12,18,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_oldwest_06,17,14,17,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
remnant_oldwest_07,19,16,26,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
remnant_oldwest_08,20,22,24,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,commercial,,
remnant_oldwest_09,36,10,39,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
road_railing_long_filled_01,24,2,9,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
roadblock_01,9,2,3,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
rock_form01,8,5,10,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
rock_form02,11,8,12,-2,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
rock_form03,3,2,3,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
rock_form04,3,3,3,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
rock_form05,3,2,3,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
rwg_bridge_end_01,14,14,9,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
rwg_bridge_tile_01,14,14,9,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
sawmill_01,60,24,77,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residential/industrial,,
school_01,101,19,71,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,town/rural,residentialnew,,
school_daycare_01,27,13,51,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,residentialnew/downtown,,
school_k6_01,49,17,79,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,residentialnew/downtown,,
settlement_01,38,19,38,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
sign_260_east_speed_65,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,6
sign_260_west_speed_65,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,6
sign_73_north,1,2,1,0,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,any,,2
sign_73_south,1,2,1,0,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,any,,2
sign_albuquerque,1,3,2,0,0,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,any,,3
sign_ansel_adams_river,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,3
sign_arrowhead_apache,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,3
sign_camp_fish,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,3
sign_caution,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,3
sign_hazardous_waste,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,10
sign_info_center1,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,2
sign_navezgane_natl_forest,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,4
sign_phoenix,1,3,2,0,0,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,any,,3
sign_road_work,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,2
sign_school_25,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,10
sign_slow,1,2,1,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,any,,2
sign_speed_25,1,2,1,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,any,,10
sign_speed_35,1,2,1,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,any,,10
sign_speed_45,1,2,1,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,any,,5
sign_speed_55,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,4
sign_spillway_lake,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,3
sign_stop,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,10
sign_stop_4way,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,4
skate_park_01,44,16,44,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
skyscraper_01,93,134,87,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
skyscraper_02,47,66,76,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
skyscraper_03,83,78,84,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
skyscraper_04,54,59,40,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
store_autoparts_01,59,17,55,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,town/rural,commercial,10,
store_bank_01,41,17,47,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,4,
store_book_01,44,12,65,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,10,
store_book_02,47,12,75,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,20,
store_clothing_01,67,16,73,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,,,,
store_clothing_02,47,12,79,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
store_electronics_01,34,14,60,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
store_electronics_02,57,14,57,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,,none,,
store_grocery_01,54,14,87,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,10,
store_grocery_02,99,23,99,-8,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,10,
store_gun_01,55,14,86,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,20,
store_gun_02,68,21,105,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,10,
store_hardware_01,44,13,65,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,20,
store_hardware_02,45,13,86,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,10,
store_laundry_01,30,13,48,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
store_pawn_01,39,18,47,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
store_pharmacy_01,32,11,46,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,10,
store_pharmacy_02,45,20,72,-9,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
store_salon,25,10,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
street_apache,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
street_bell_courtland,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
street_coronado,1,2,1,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
